table_name,column_name
conservation_scores,variant_id
conservation_scores,chromosome
conservation_scores,position
conservation_scores,reference_allele
conservation_scores,alternate_allele
conservation_scores,gene_name
conservation_scores,phylop_score
conservation_scores,phastcons_score
conservation_scores,gerp_score
conservation_scores,sift_score
conservation_scores,polyphen_score
conservation_scores,cadd_phred
conservation_scores,gnomad_af
conservation_scores,is_highly_conserved
conservation_scores,is_constrained
conservation_scores,is_likely_deleterious
conservation_scores,conservation_level
conservation_scores,is_common_variant
conservation_scores,is_rare_variant
disease_hierarchy,source_medgen_id
disease_hierarchy,target_medgen_id
disease_hierarchy,relationship
disease_hierarchy,relationship_detail
disease_hierarchy,source_db
disease_hierarchy,data_source
disease_hierarchy,download_date
diseases,medgen_id
diseases,disease_name
diseases,term_type
diseases,source_db
ensembl_coord_results,gene_name
ensembl_coord_results,ensembl_id
ensembl_coord_results,start_position
ensembl_coord_results,end_position
ensembl_coord_results,chromosome
ensembl_coord_results,api_source
ensembl_coord_results,success
ensembl_coord_results,error_msg
ensembl_coord_results,batch_id
ensembl_coord_results,query_timestamp
gene_coordinate_checkpoint,gene_name
gene_coordinate_checkpoint,ensembl_id
gene_coordinate_checkpoint,entrez_id
gene_coordinate_checkpoint,api_source
gene_coordinate_checkpoint,start_position
gene_coordinate_checkpoint,end_position
gene_coordinate_checkpoint,chromosome
gene_coordinate_checkpoint,query_timestamp
gene_coordinate_checkpoint,batch_id
gene_coordinate_checkpoint,success
gene_disease_comprehensive,gene_name
gene_disease_comprehensive,omim_disease_count
gene_disease_comprehensive,omim_ids
gene_disease_comprehensive,omim_diseases
gene_disease_comprehensive,clinvar_disease_count
gene_disease_comprehensive,clinvar_omim_ids
gene_disease_comprehensive,mondo_ids
gene_disease_comprehensive,clinvar_diseases
gene_disease_comprehensive,all_disease_text
gene_disease_comprehensive,total_disease_count
gene_disease_comprehensive,has_cancer_disease
gene_disease_comprehensive,has_neurological_disease
gene_disease_comprehensive,has_metabolic_disease
gene_disease_comprehensive,has_cardiovascular_disease
gene_disease_comprehensive,has_developmental_disease
gene_disease_comprehensive,has_immune_disease
gene_disease_comprehensive,has_muscular_disease
gene_disease_comprehensive,is_hereditary_disease
gene_disease_links,gene_id
gene_disease_links,gene_symbol
gene_disease_links,medgen_id
gene_disease_links,omim_id
gene_disease_links,disease_name
gene_disease_links,association_type
gene_id_checkpoint_v2,gene_name
gene_id_checkpoint_v2,official_symbol
gene_id_checkpoint_v2,entrez_id
gene_id_checkpoint_v2,ensembl_id
gene_id_checkpoint_v2,chromosome
gene_id_checkpoint_v2,search_strategy
gene_id_checkpoint_v2,success
gene_id_checkpoint_v2,batch_id
genes_refseq,gene_symbol
genes_refseq,gene_name
genes_refseq,chromosome
genes_refseq,strand
genes_ultra_enriched,gene_id
genes_ultra_enriched,gene_name
genes_ultra_enriched,official_symbol
genes_ultra_enriched,alias_1
genes_ultra_enriched,alias_2
genes_ultra_enriched,alias_3
genes_ultra_enriched,alias_4
genes_ultra_enriched,alias_5
genes_ultra_enriched,alias_6
genes_ultra_enriched,alias_7
genes_ultra_enriched,alias_8
genes_ultra_enriched,alias_9
genes_ultra_enriched,alias_10
genes_ultra_enriched,total_aliases
genes_ultra_enriched,designation_1
genes_ultra_enriched,designation_2
genes_ultra_enriched,designation_3
genes_ultra_enriched,designation_4
genes_ultra_enriched,designation_5
genes_ultra_enriched,designation_6
genes_ultra_enriched,designation_7
genes_ultra_enriched,designation_8
genes_ultra_enriched,designation_9
genes_ultra_enriched,designation_10
genes_ultra_enriched,designation_11
genes_ultra_enriched,designation_12
genes_ultra_enriched,designation_13
genes_ultra_enriched,designation_14
genes_ultra_enriched,designation_15
genes_ultra_enriched,total_designations
genes_ultra_enriched,mim_id
genes_ultra_enriched,hgnc_id
genes_ultra_enriched,ensembl_id
genes_ultra_enriched,alliance_id
genes_ultra_enriched,uniprot_id
genes_ultra_enriched,refseq_id
genes_ultra_enriched,entrez_id
genes_ultra_enriched,database_count
genes_ultra_enriched,is_well_annotated
genes_ultra_enriched,description
genes_ultra_enriched,protein_family
genes_ultra_enriched,chain_type
genes_ultra_enriched,member_number
genes_ultra_enriched,type_number
